epoch,train_loss,valid_loss,accuracy,time,model_name,transform_name,learning_rate,saved_at
0,1.5800598859786987,1.570682168006897,0.2493489533662796,02:22,vit_base_patch16_224,none_basic,0.001,2024-10-10 17:04:12
1,1.5860111713409424,1.56771981716156,0.2415364533662796,02:19,vit_base_patch16_224,none_basic,0.001,2024-10-10 17:04:12
2,1.5785799026489258,1.569593906402588,0.2434895783662796,02:32,vit_base_patch16_224,none_basic,0.001,2024-10-10 17:04:12
3,1.560710310935974,1.5765719413757324,0.2421875,02:16,vit_base_patch16_224,none_basic,0.001,2024-10-10 17:04:12
4,1.575685739517212,1.568316102027893,0.25390625,02:15,vit_base_patch16_224,none_basic,0.001,2024-10-10 17:04:12
5,1.590948462486267,1.5684937238693235,0.234375,02:16,vit_base_patch16_224,none_basic,0.001,2024-10-10 17:04:12
6,1.5725977420806885,1.5632332563400269,0.2584635317325592,02:12,vit_base_patch16_224,none_basic,0.001,2024-10-10 17:04:12
7,1.555139660835266,1.566735863685608,0.25,02:55,vit_base_patch16_224,none_basic,0.001,2024-10-10 17:04:12
8,1.5497287511825562,1.5657243728637695,0.2591145932674408,02:23,vit_base_patch16_224,none_basic,0.001,2024-10-10 17:04:12
9,1.5844247341156006,1.5663132667541504,0.2513020932674408,02:14,vit_base_patch16_224,none_basic,0.001,2024-10-10 17:04:12
