epoch,train_loss,valid_loss,accuracy,time,model_name,transform_name,learning_rate,saved_at
0,1.9356305599212649,1.7172712087631226,0.2662760317325592,01:07,mobilenetv3_large_100,none_basic,0.001,2024-10-15 04:16:33
1,1.8417223691940308,1.6769529581069946,0.2584635317325592,01:07,mobilenetv3_large_100,none_basic,0.001,2024-10-15 04:16:33
2,1.73768413066864,1.6487311124801636,0.2643229067325592,01:08,mobilenetv3_large_100,none_basic,0.001,2024-10-15 04:16:33
3,1.688166260719299,1.6084879636764526,0.2630208432674408,01:06,mobilenetv3_large_100,none_basic,0.001,2024-10-15 04:16:33
4,1.64474356174469,1.602145791053772,0.265625,01:06,mobilenetv3_large_100,none_basic,0.001,2024-10-15 04:16:33
5,1.5826741456985474,1.5698000192642212,0.2779947817325592,01:08,mobilenetv3_large_100,none_basic,0.001,2024-10-15 04:16:33
6,1.5815361738204956,1.55043363571167,0.29296875,01:07,mobilenetv3_large_100,none_basic,0.001,2024-10-15 04:16:33
7,1.550363302230835,1.548380732536316,0.28515625,01:07,mobilenetv3_large_100,none_basic,0.001,2024-10-15 04:16:33
8,1.55191969871521,1.542767882347107,0.302734375,01:07,mobilenetv3_large_100,none_basic,0.001,2024-10-15 04:16:33
9,1.5303434133529663,1.5391607284545898,0.2916666567325592,01:08,mobilenetv3_large_100,none_basic,0.001,2024-10-15 04:16:33
