epoch,train_loss,valid_loss,accuracy,time,model_name,transform_name,learning_rate,saved_at
0,1.9526159763336184,1.719534397125244,0.2766927182674408,01:07,mobilenetv3_rw,none_basic,0.001,2024-10-15 04:28:43
1,1.8701807260513303,1.6825571060180664,0.2734375,01:07,mobilenetv3_rw,none_basic,0.001,2024-10-15 04:28:43
2,1.6921076774597168,1.6227593421936035,0.2786458432674408,01:07,mobilenetv3_rw,none_basic,0.001,2024-10-15 04:28:43
3,1.6841093301773071,1.6162558794021606,0.28125,01:06,mobilenetv3_rw,none_basic,0.001,2024-10-15 04:28:43
4,1.636795163154602,1.5771876573562622,0.2858072817325592,01:06,mobilenetv3_rw,none_basic,0.001,2024-10-15 04:28:43
5,1.595263957977295,1.5780938863754272,0.2897135317325592,01:08,mobilenetv3_rw,none_basic,0.001,2024-10-15 04:28:43
6,1.591910481452942,1.5641874074935913,0.29296875,01:06,mobilenetv3_rw,none_basic,0.001,2024-10-15 04:28:43
7,1.5355013608932495,1.5531407594680786,0.2897135317325592,01:08,mobilenetv3_rw,none_basic,0.001,2024-10-15 04:28:43
8,1.5319108963012695,1.5429526567459106,0.3001302182674408,01:07,mobilenetv3_rw,none_basic,0.001,2024-10-15 04:28:43
9,1.5690383911132812,1.5414913892745972,0.3079427182674408,01:07,mobilenetv3_rw,none_basic,0.001,2024-10-15 04:28:43
