epoch,train_loss,valid_loss,accuracy,time,model_name,transform_name,learning_rate,saved_at
0,1.9303388595581052,1.5795507431030271,0.3125,02:10,vit_base_patch16_224,none_180_rotate,0.001,2024-10-15 02:55:30
1,1.8007692098617554,1.5334841012954712,0.3326822817325592,02:23,vit_base_patch16_224,none_180_rotate,0.001,2024-10-15 02:55:30
2,1.693777561187744,1.4729162454605105,0.3723958432674408,02:10,vit_base_patch16_224,none_180_rotate,0.001,2024-10-15 02:55:30
3,1.5719774961471558,1.3448944091796875,0.4309895932674408,02:08,vit_base_patch16_224,none_180_rotate,0.001,2024-10-15 02:55:30
4,1.3861898183822632,1.2913347482681274,0.4609375,02:17,vit_base_patch16_224,none_180_rotate,0.001,2024-10-15 02:55:30
5,1.3590059280395508,1.2575396299362185,0.4889322817325592,02:10,vit_base_patch16_224,none_180_rotate,0.001,2024-10-15 02:55:30
6,1.2363463640213013,1.247177243232727,0.4928385317325592,02:09,vit_base_patch16_224,none_180_rotate,0.001,2024-10-15 02:55:30
7,1.1257760524749756,1.2534825801849363,0.4915364682674408,02:08,vit_base_patch16_224,none_180_rotate,0.001,2024-10-15 02:55:30
8,1.0621356964111328,1.251787543296814,0.4889322817325592,02:10,vit_base_patch16_224,none_180_rotate,0.001,2024-10-15 02:55:30
9,1.0973960161209106,1.260385513305664,0.4954427182674408,02:09,vit_base_patch16_224,none_180_rotate,0.001,2024-10-15 02:55:30
