epoch,train_loss,valid_loss,accuracy,time,model_name,transform_name,learning_rate,saved_at
0,1.920000910758972,1.6048043966293335,0.2923177182674408,02:18,vit_base_patch16_224,none_basic,0.001,2024-10-10 21:39:04
1,1.766878962516785,1.498167872428894,0.3470052182674408,02:17,vit_base_patch16_224,none_basic,0.001,2024-10-10 21:39:04
2,1.6511740684509275,1.4545589685440063,0.373046875,02:17,vit_base_patch16_224,none_basic,0.001,2024-10-10 21:39:04
3,1.4927124977111816,1.400042176246643,0.392578125,02:17,vit_base_patch16_224,none_basic,0.001,2024-10-10 21:39:04
4,1.4223544597625732,1.2961190938949585,0.4401041567325592,02:18,vit_base_patch16_224,none_basic,0.001,2024-10-10 21:39:04
5,1.3263955116271973,1.2512550354003906,0.4680989682674408,02:18,vit_base_patch16_224,none_basic,0.001,2024-10-10 21:39:04
6,1.240094542503357,1.2098897695541382,0.484375,02:49,vit_base_patch16_224,none_basic,0.001,2024-10-10 21:39:04
7,1.2171310186386108,1.198218584060669,0.5006510615348816,02:21,vit_base_patch16_224,none_basic,0.001,2024-10-10 21:39:04
8,1.1921489238739014,1.1904903650283811,0.5071614384651184,02:54,vit_base_patch16_224,none_basic,0.001,2024-10-10 21:39:04
9,1.164138913154602,1.1739617586135864,0.509765625,02:23,vit_base_patch16_224,none_basic,0.001,2024-10-10 21:39:04
