epoch,train_loss,valid_loss,accuracy,time,model_name,transform_name,learning_rate,saved_at
0,1.899383902549744,1.641809344291687,0.2975260317325592,02:53,vit_base_patch16_224,none_rotate,0.001,2024-10-10 14:58:02
1,1.7897182703018188,1.5686436891555786,0.3411458432674408,02:53,vit_base_patch16_224,none_rotate,0.001,2024-10-10 14:58:02
2,1.6266584396362305,1.39173686504364,0.3899739682674408,03:22,vit_base_patch16_224,none_rotate,0.001,2024-10-10 14:58:02
3,1.5006277561187744,1.331781268119812,0.4309895932674408,02:52,vit_base_patch16_224,none_rotate,0.001,2024-10-10 14:58:02
4,1.3629508018493652,1.2898626327514648,0.4583333432674408,03:56,vit_base_patch16_224,none_rotate,0.001,2024-10-10 14:58:02
5,1.2473539113998413,1.1910842657089231,0.5084635615348816,03:00,vit_base_patch16_224,none_rotate,0.001,2024-10-10 14:58:02
6,1.222508192062378,1.1658421754837036,0.53125,03:01,vit_base_patch16_224,none_rotate,0.001,2024-10-10 14:58:02
7,1.0323399305343628,1.1835297346115112,0.5377604365348816,02:49,vit_base_patch16_224,none_rotate,0.001,2024-10-10 14:58:02
8,1.0000243186950684,1.1742430925369265,0.5338541865348816,03:36,vit_base_patch16_224,none_rotate,0.001,2024-10-10 14:58:02
9,0.9739421010017396,1.1875452995300293,0.5325520634651184,02:45,vit_base_patch16_224,none_rotate,0.001,2024-10-10 14:58:02
