epoch,train_loss,valid_loss,accuracy,time,model_name,transform_name,learning_rate,saved_at
0,1.8123852014541624,1.594341278076172,0.310546875,04:09,vit_base_patch16_224,none_basic,0.001,2024-10-10 04:44:32
1,1.7002627849578855,1.482344150543213,0.37109375,04:00,vit_base_patch16_224,none_basic,0.001,2024-10-10 04:44:32
2,1.591358661651611,1.403189778327942,0.4186197817325592,03:43,vit_base_patch16_224,none_basic,0.001,2024-10-10 04:44:32
3,1.4458818435668943,1.3055354356765747,0.4427083432674408,03:33,vit_base_patch16_224,none_basic,0.001,2024-10-10 04:44:32
4,1.2869402170181274,1.2339709997177124,0.5026041865348816,03:04,vit_base_patch16_224,none_basic,0.001,2024-10-10 04:44:32
5,1.1798378229141235,1.1767739057540894,0.5169270634651184,02:21,vit_base_patch16_224,none_basic,0.001,2024-10-10 04:44:32
6,1.097105622291565,1.1473937034606934,0.5397135615348816,02:30,vit_base_patch16_224,none_basic,0.001,2024-10-10 04:44:32
7,1.092149019241333,1.131022334098816,0.5358073115348816,03:02,vit_base_patch16_224,none_basic,0.001,2024-10-10 04:44:32
8,1.0134450197219849,1.12056565284729,0.5384114384651184,02:20,vit_base_patch16_224,none_basic,0.001,2024-10-10 04:44:32
9,0.9479340314865112,1.128499150276184,0.5390625,02:21,vit_base_patch16_224,none_basic,0.001,2024-10-10 04:44:32
