epoch,train_loss,valid_loss,accuracy,time,model_name,transform_name,learning_rate,saved_at
0,1.3472577333450315,1.2433704137802124,0.4895833432674408,02:16,vit_base_patch16_224,none_basic,0.001,2024-10-14 21:16:34
1,1.2916338443756104,1.2840721607208252,0.478515625,02:19,vit_base_patch16_224,none_basic,0.001,2024-10-14 21:16:34
2,1.2383092641830444,1.195958137512207,0.5188801884651184,02:19,vit_base_patch16_224,none_basic,0.001,2024-10-14 21:16:34
3,1.1899651288986206,1.1757985353469849,0.5260416865348816,02:18,vit_base_patch16_224,none_basic,0.001,2024-10-14 21:16:34
4,1.087485432624817,1.0744367837905884,0.580078125,02:23,vit_base_patch16_224,none_basic,0.001,2024-10-14 21:16:34
5,0.961115300655365,1.040063738822937,0.5930989384651184,02:18,vit_base_patch16_224,none_basic,0.001,2024-10-14 21:16:34
6,0.8476605415344238,1.0010535717010498,0.607421875,02:16,vit_base_patch16_224,none_basic,0.001,2024-10-14 21:16:34
7,0.82460618019104,0.9924514889717102,0.6243489384651184,02:31,vit_base_patch16_224,none_basic,0.001,2024-10-14 21:16:34
8,0.6700113415718079,0.9814488291740416,0.6223958134651184,02:16,vit_base_patch16_224,none_basic,0.001,2024-10-14 21:16:34
9,0.696003258228302,0.99238520860672,0.6276041865348816,02:44,vit_base_patch16_224,none_basic,0.001,2024-10-14 21:16:34
