epoch,train_loss,valid_loss,accuracy,time,model_name,transform_name,learning_rate,saved_at
0,1.265658259391785,1.1823958158493042,0.5123698115348816,02:15,vit_base_patch16_224,rr_crop_flip_zoom,0.001,2024-10-14 22:16:01
1,1.3356040716171265,1.3369112014770508,0.439453125,02:13,vit_base_patch16_224,rr_crop_flip_zoom,0.001,2024-10-14 22:16:01
2,1.2205110788345337,1.20025372505188,0.5143229365348816,02:12,vit_base_patch16_224,rr_crop_flip_zoom,0.001,2024-10-14 22:16:01
3,1.1849100589752195,1.0969692468643188,0.5611979365348816,02:11,vit_base_patch16_224,rr_crop_flip_zoom,0.001,2024-10-14 22:16:01
4,1.1922496557235718,1.0609177350997925,0.5833333134651184,02:12,vit_base_patch16_224,rr_crop_flip_zoom,0.001,2024-10-14 22:16:01
5,1.021763563156128,0.9894987940788268,0.6139323115348816,02:47,vit_base_patch16_224,rr_crop_flip_zoom,0.001,2024-10-14 22:16:01
6,0.9691122770309448,0.9484662413597108,0.6263020634651184,02:48,vit_base_patch16_224,rr_crop_flip_zoom,0.001,2024-10-14 22:16:01
7,0.8412879109382629,0.9405157566070556,0.638671875,02:18,vit_base_patch16_224,rr_crop_flip_zoom,0.001,2024-10-14 22:16:01
8,0.7177957892417908,0.9147348999977112,0.654296875,02:23,vit_base_patch16_224,rr_crop_flip_zoom,0.001,2024-10-14 22:16:01
9,0.7145838141441345,0.9187186360359192,0.6549479365348816,02:14,vit_base_patch16_224,rr_crop_flip_zoom,0.001,2024-10-14 22:16:01
