id,stable_height
95,1
706,2
2854,1
3093,4
4283,2
5449,1
5625,2
7860,1
8051,1
8812,1
10265,1
11329,2
11485,1
13901,3
15142,1
15176,4
15598,1
16132,2
16584,3
16840,1
16864,3
17375,3
17774,5
19140,5
19671,2
19834,3
19985,3
21275,5
21380,2
21728,1
23345,3
23418,3
24335,1
24604,5
26374,4
26566,6
27296,1
27572,5
27686,6
28146,1
28412,2
29213,6
29410,5
29443,5
29720,4
30147,2
30154,2
30813,1
30895,5
32835,1
33287,3
34108,2
34114,2
34252,4
34299,1
34477,1
34504,2
35120,3
36273,3
36647,3
36733,3
36818,1
37705,3
38348,3
38456,5
38463,1
39034,2
39083,2
39689,3
39736,2
39787,5
40053,1
40534,2
42846,4
43823,3
44092,3
44561,2
46366,1
47517,1
47714,1
48210,3
48662,1
48911,1
49738,3
50682,2
51047,1
51350,2
51358,4
51742,2
52173,5
52566,1
53571,2
53690,3
53776,1
54106,1
54175,3
54301,2
54722,3
54994,1
55065,5
55360,1
56121,4
57055,1
57233,5
57361,5
58573,2
58649,4
58971,1
59340,2
59595,5
59737,6
59816,2
61023,4
61254,1
61653,1
62582,6
62708,2
62948,2
63231,4
63533,1
64426,1
64510,1
64548,4
65240,3
65880,2
66512,2
67525,3
67803,2
68278,3
68332,1
68336,2
72268,1
73169,3
73291,1
73607,2
73682,2
74252,1
75673,2
76320,1
77121,4
77735,3
77856,3
78413,3
79194,2
79534,3
79542,1
79836,3
80405,2
81589,3
81667,1
81850,1
81990,4
82475,5
83152,1
83166,1
83743,2
85657,6
86855,3
88122,1
88459,4
88575,4
89578,6
89966,3
91735,1
91892,3
93230,1
93632,3
93803,3
94032,2
95115,6
96274,5
97119,4
97125,1
97450,5
97521,2
98063,2
98114,1
98444,3
99074,2
99081,5
99283,4
99787,4
100156,1
100357,1
100998,1
102119,1
102131,5
102213,3
103351,3
103671,3
104154,1
104298,5
104408,5
105572,4
105753,2
106117,2
106155,2
106207,2
106615,4
106839,1
107131,1
107154,1
108129,6
108162,2
108306,1
108313,5
109548,5
110737,1
111486,2
111571,2
111936,3
112148,2
112408,1
114074,2
114456,3
115147,5
116446,1
116758,3
117059,4
117554,4
117913,1
118233,2
118392,2
118644,6
119874,3
120797,1
121757,2
123349,3
123544,4
123994,4
125981,4
126835,3
127129,3
128888,1
129188,5
129287,4
129464,4
129853,3
129905,3
130200,3
130227,5
130325,1
130451,3
130956,4
131307,1
131690,5
131853,2
132664,2
132993,2
133736,2
133791,2
133859,1
134412,3
135144,2
137131,1
138612,1
138697,6
139770,1
140013,4
140787,1
142146,2
143614,1
143947,4
144874,3
145326,1
146340,1
146432,2
146463,4
147577,1
147836,4
148326,2
148338,5
148342,1
148680,4
149231,3
149364,5
149931,3
150322,5
152583,2
153062,2
153166,1
153485,5
153594,5
153750,2
153874,3
153991,2
154636,6
154783,5
156410,4
157695,3
159154,1
160186,1
160678,2
160767,3
160830,2
161233,5
161573,2
162816,4
162880,4
162955,3
163241,1
163678,2
163971,2
164394,1
166392,5
166440,3
166524,4
166951,4
167011,4
168218,3
168854,1
168964,2
168977,3
169539,4
169810,4
170088,5
170812,3
172079,3
172864,5
173421,3
173904,1
175611,4
175835,4
176261,2
176288,1
178697,1
178917,1
180650,2
180789,5
181460,5
183277,6
184804,1
185665,5
186121,2
187583,1
188235,3
188273,3
188693,2
189252,1
189455,4
189862,5
190413,1
190634,1
192273,6
192280,1
193309,2
193681,1
194172,1
194193,2
194759,2
194979,4
195221,5
196076,1
196703,1
196971,2
197275,1
197775,1
197965,2
198759,1
198897,2
201206,6
201852,1
202505,3
202553,4
204110,4
204709,1
204844,3
205035,3
206022,3
206418,1
207361,1
207717,2
208215,1
208356,6
208487,2
208661,3
209064,3
210092,1
210440,2
210928,2
211025,3
211455,1
211900,3
212838,4
213031,3
213324,1
213442,1
213706,1
215078,5
215174,2
215479,1
216439,4
218073,1
218252,1
218676,1
218778,1
218794,2
219106,3
220083,3
220655,2
221457,1
221825,2
222007,2
223728,1
223844,6
223959,2
224340,2
224410,4
225057,2
225294,3
225499,2
227053,4
227386,2
227765,5
228559,1
229160,3
229187,2
229955,5
230102,3
232815,2
232854,2
233633,1
234011,1
234222,2
234519,3
235368,2
237047,2
238507,3
238627,3
239039,1
239535,3
239782,2
240253,4
240723,3
241219,2
241409,2
241894,4
241957,1
242191,3
243322,3
244493,5
244965,4
246299,2
246400,1
246866,1
249064,3
249348,2
250208,3
250440,5
250605,2
250926,1
251617,3
251679,5
252051,1
252347,2
252511,3
254660,2
254905,6
254906,3
256185,3
257019,4
257319,1
257757,2
257869,2
258043,6
258090,3
258701,1
258928,1
259582,1
259963,1
260141,2
260613,2
262448,1
262663,1
262842,2
263087,2
264173,4
264469,2
264942,5
265630,1
265867,3
266195,1
267273,1
268004,2
269574,1
269635,2
271313,1
271432,5
272065,4
272335,2
272687,2
272836,2
273096,2
273104,3
273961,4
275254,3
275325,2
275591,1
275612,6
275844,4
276060,5
276340,6
276897,3
277119,2
277356,2
277451,1
277634,3
278427,5
278800,3
279176,2
279705,1
279716,2
280100,1
280928,3
282118,3
282224,2
282451,3
282612,3
282910,1
283019,5
284359,1
284799,1
284830,1
285000,4
285883,4
286236,3
286256,2
287072,3
288211,3
288481,2
288650,3
290154,6
291959,3
292213,2
292622,6
294648,1
295376,3
296504,2
297729,1
298110,5
298632,2
299928,5
301816,2
302399,4
303715,5
303965,1
304463,2
304706,5
304752,4
305216,5
307082,6
307227,1
307382,2
307915,1
308062,4
308175,1
308270,3
308602,1
308677,1
308763,3
309576,1
309948,5
309968,4
310453,3
310510,4
310803,2
311114,5
311559,3
312387,2
313613,1
313707,2
314206,6
315336,4
315576,1
315600,3
315694,4
316179,1
317338,2
317588,2
317615,1
317731,1
318493,2
318986,1
320203,3
320821,2
320905,1
321858,1
322277,1
322451,1
322668,4
324193,2
324563,1
326775,2
327400,2
327620,3
327685,4
328414,4
328448,1
329028,1
330160,4
330273,5
330693,1
330855,1
